Activity Date,Distance,Elapsed Time,Pace_sec_per_km,Elev_gain_per_km,Workload_7d,Workload_Change_%,Injury_Risk,Recovery_Flag,VO2max_est,Calories
2023-02-11 23:47:03,17.08,2552,149414.5199063232,1756.4402810304452,0.29272,-8.821330675305262,0,0,41.1145,236.0
2023-02-17 23:33:27,123.14,16802,136446.32126035407,3759.948026636349,0.37109000000000003,26.77302541678056,0,1,41.1145,2503.0
2023-02-20 22:46:45,24.28,3774,155436.5733113674,247.1169686985173,0.3342,-9.940984666792431,0,0,41.1145,454.0
2023-02-22 23:05:25,46.38,6146,132514.01466149202,2889.1763691246224,0.33541000000000004,0.3620586475164705,0,1,41.1145,941.0
2023-02-24 21:52:39,59.8,8334,139364.5484949833,2625.418060200669,0.33472999999999997,-0.2027369488089411,0,1,41.1145,1157.0
2023-03-04 00:06:42,67.41,10222,151639.22266726007,2596.053997923157,0.3572,6.712873061870776,0,0,41.1145,1266.0
2023-03-04 22:55:41,20.48,1986,96972.65624999999,2314.4531995058055,0.35857,0.38353863381858405,0,1,41.1145,574.0
2023-03-06 03:04:29,25.05,3469,138483.03393213573,319.3612774451098,0.36654000000000003,2.2227180187968965,0,1,41.1145,520.0
2023-03-11 00:00:57,107.22,14351,133846.29733258722,1585.5250886028728,0.35062,-4.343318600971256,0,1,41.1145,2114.0
2023-05-04 04:18:44,55.62,7496,134771.66486875227,107.87486515641856,0.38196,8.938451885231885,0,1,41.1145,1090.0
2023-11-18 00:01:54,150.03,22391,149243.48463640606,3781.714767072626,0.48561,27.13634935595349,0,0,41.1145,3895.0
