personId,date,exercise_activeDuration_in_ms,exercise_steps,exercise_calories,exercise_elevationGain,exercise_averageHeartRate,sleep_duration_in_ms,sleep_minutesAsleep,sleep_minutesAwake,sleep_efficiency
p02,2020-02-03,3737000,5572.0,551,103.63,100.0,27180000,405,48,91.0
p02,2020-02-04,3788000,5792.0,523,0.0,83.0,25140000,348,71,98.0
p02,2020-02-05,5145000,6158.0,831,94.49,111.0,20820000,297,50,93.0
p02,2020-02-06,5581000,7509.0,776,0.0,97.0,27240000,381,73,93.0
p02,2020-02-07,5683000,10376.0,1131,73.15,126.5,26940000,364,85,92.0
p02,2020-02-08,3891000,8875.0,924,158.5,136.0,28500000,403,72,94.0
p02,2020-02-09,973000,972.0,87,0.0,80.0,29940000,441,58,91.0
p02,2020-02-10,3583000,5767.0,556,109.73,99.0,27420000,392,65,90.0
p02,2020-02-11,10444000,15055.0,1505,246.89,98.25,26280000,388,50,97.0
p02,2020-02-12,10803000,19504.0,1779,304.8,105.67,23640000,346,48,99.0
p02,2020-02-13,9675000,12428.0,1458,149.35,101.2,27300000,385,70,93.0
p02,2020-02-14,1024000,2153.0,239,20.68,141.0,25920000,349,83,96.0
p02,2020-02-15,3709000,5927.0,568,131.06,96.67,23460000,347,44,91.0
p02,2020-02-16,12622000,19551.0,2113,415.44,107.67,21540000,306,53,93.0
p02,2020-02-17,9251000,9366.0,1315,125.27,101.67,27000000,404,46,99.0
p02,2020-02-18,7424000,11936.0,1095,201.17,97.67,26760000,371,75,89.0
p02,2020-02-19,11520000,18397.0,2165,164.59,118.0,26520000,364,78,98.0
p02,2020-02-20,13619000,22462.0,2150,435.86,102.2,28080000,374,94,98.0
p02,2020-02-21,8365000,6557.0,1384,9.75,118.0,24720000,373,39,98.0
p02,2020-02-22,1280000,1448.0,160,21.34,98.0,28440000,395,79,94.0
p02,2020-02-23,6399000,12729.0,1178,249.94,117.0,24660000,359,52,90.0
p02,2020-02-24,4505000,6515.0,603,30.48,96.0,28320000,417,55,95.0
p02,2020-02-26,7952000,10675.0,1680,278.59,131.33,28860000,400,81,90.0
p02,2020-02-27,13664000,23840.0,2441,558.7,108.5,26040000,368,66,91.0
p02,2020-02-29,13004000,20890.0,2007,161.54,95.67,29640000,440,54,98.0
p02,2020-03-01,3942000,5329.0,494,79.25,88.0,34200000,498,72,90.5
p02,2020-03-02,8104000,15426.0,1641,125.58,118.0,28980000,416,67,96.0
p02,2020-03-03,11366000,18661.0,2086,486.77,112.0,25980000,372,61,98.0
p02,2020-03-04,6759000,11580.0,1015,231.65,97.5,31080000,447,71,97.0
p02,2020-03-05,6502000,8757.0,957,3.05,101.33,29940000,409,90,99.0
p02,2020-03-06,5734000,8352.0,866,0.0,102.0,28320000,399,73,92.0
p02,2020-03-07,4249000,6357.0,665,0.0,103.0,26400000,408,32,92.0
p02,2020-03-08,2866000,3240.0,386,0.0,100.5,26640000,363,81,96.0
p02,2020-03-09,9473000,18708.0,1652,282.09,108.0,23460000,313,78,97.0
p02,2020-03-11,7219000,12098.0,1257,182.88,105.0,31920000,477,55,93.0
p02,2020-03-12,3481000,5586.0,571,115.82,107.0,26460000,382,59,93.0
