Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Filename,Athlete Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Elevation Gain,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Calories,Relative Effort.1,Commute.1
2189889624,"19 Aug 2018, 13:02:00","Montréal, Île de Montréal",Run,6944,15.47,204.0,165.0,False,activities/2333657706.fit.gz,84.0,6944.0,5123.0,15471.2001953125,4.099999904632568,27.747106552124023,9.899999618530272,21.799999237060547,18.600000381469727,-0.0032318113371729,82.0,75.07678985595703,158.62762451171875,945.0,165.0,0.0
2189889647,"12 Aug 2018, 12:03:40","Montréal, Parc du Canal-de-Lachine / Montréal, Sailors' Memorial Clock Tower",Run,6284,18.03,191.0,208.0,False,activities/2333657744.fit.gz,84.0,6284.0,6210.0,18030.099609375,5.099999904632568,22.918624877929688,6.300000190734863,19.899999618530277,17.799999237060547,-0.0244036354124546,83.0,79.276123046875,160.1454620361328,1099.0,208.0,0.0
2189889675,"9 Aug 2018, 11:03:54","Montréal, Île de Montréal",Run,2283,6.05,159.0,32.0,False,activities/2333657774.fit.gz,84.0,2283.0,2096.0,6057.0,3.900000095367432,5.366666793823242,14.399999618530272,20.799999237060547,8.100000381469727,-0.0429255403578281,83.0,77.14498138427734,143.8857421875,368.0,32.0,0.0
2189889685,"4 Aug 2018, 22:10:38",Glen Waverley / Oakleigh,Run,5908,12.16,181.0,105.0,False,activities/2333657781.fit.gz,84.0,5908.0,4329.0,12168.099609375,3.5999999046325684,110.5398941040039,60.09999847412109,112.0,25.399999618530277,0.0065745678730309,84.0,79.0,151.52828979492188,767.0,105.0,0.0
2189889730,"28 Jul 2018, 22:08:40",Glen Waverley,Run,4498,10.65,174.0,37.0,False,activities/2333657832.fit.gz,84.0,4498.0,3959.0,10649.400390625,3.900000095367432,125.49871826171876,97.5,129.89999389648438,15.100000381469728,0.0037560800556093,83.0,74.62572479248047,128.99012756347656,697.0,37.0,0.0
2189889767,"27 Jul 2018, 22:43:46","Mount Waverley, Fairway Reserve / Oakleigh",Run,4815,12.09,176.0,96.0,False,activities/2333657892.fit.gz,84.0,4815.0,4434.0,12096.900390625,4.099999904632568,93.17291259765624,60.09999847412109,111.6999969482422,18.899999618530277,0.2546106874942779,82.0,78.64561462402344,150.0800323486328,774.0,96.0,0.0
2189889789,"22 Jul 2018, 14:28:11","Montréal, Île de Montréal",Run,7498,20.07,176.0,164.0,False,activities/2333657900.fit.gz,84.0,7498.0,6884.0,20071.80078125,4.199999809265137,26.40543937683105,9.800000190734863,22.799999237060547,10.899999618530272,-0.0079713826999068,83.0,78.89067077636719,151.3390655517578,1212.0,164.0,0.0
2189889824,"21 Jul 2018, 16:21:51","Montréal, Île de Montréal",Run,3882,9.99,175.0,98.0,False,activities/2333657953.fit.gz,84.0,3882.0,3397.0,9994.900390625,3.799999952316284,25.34025001525879,9.899999618530272,21.0,10.300000190734863,0.0150076542049646,83.0,77.57349395751953,156.584716796875,611.0,98.0,0.0
2189889878,"7 Jul 2018, 15:21:32","Montréal, Île de Montréal",Run,3587,10.08,195.0,95.0,False,activities/2333658009.fit.gz,84.0,3587.0,3254.0,10079.5,4.400000095367432,22.16710662841797,9.300000190734863,20.799999237060547,13.5,0.0049605634994804,82.0,77.42650604248047,155.26625061035156,618.0,95.0,0.0
2189889882,"15 Jul 2018, 14:21:31","Montréal, Île de Montréal",Run,6946,15.01,181.0,152.0,False,activities/2333658007.fit.gz,84.0,6946.0,5099.0,15015.900390625,4.300000190734863,23.004487991333008,7.900000095367432,21.799999237060547,7.900000095367432,-0.0372938029468059,83.0,76.49085235595703,156.4886932373047,916.0,152.0,0.0
